,Host,8/12,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,?,? Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,,? Last 30,-1 Month ?,-2 Month ?,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,,Est Rev,Days Month,Hours Month,Rewards Month,Link
19,7629140935636598801,jackmacleodmusic,GO,-1,6,@jacko2463,,Stian,140,Y,1.00,3,35%,7,4,6,15,9,"1,886","4,872",1,"100,000","98,114",Down,1,,"3,702","2,667","1,050",-1,-1,-2,0,0,0,-,0,,?6.37,8,20,0,https://www.tiktok.com/@jackmacleodmusic
28,7359138562056617990,clairewaldo1,GO,-1,,,,Eliza,14,Y,1.00,3,35%,7,4,11,15,4,577,"1,491",1,"100,000","99,423",Down,1,,908,"2,004",268,-1,-1,-3,"2,000",0,"2,000",-,0,,?1.95,8,20,0,https://www.tiktok.com/@clairewaldo1
26,7662048617171189768,slowrider_rs,GO,-1,2,@slowrider_rs,,,0,Y,1.00,0,0%,7,7,0,15,15,651,"1,682",1,"100,000","99,349",Down,1,,"2,655","2,004",,-1,,-3,0,0,0,-,0,,?2.20,8,20,0,https://www.tiktok.com/@slowrider_rs
8,7442064241701699585,itslex_uk,GO,-1,,,,Eliza,40,Y,1.00,3,35%,7,4,7,15,8,"5,903","15,249",1,"100,000","94,097",Down,1,,"7,866","1,981",0,-1,-1,-2,0,0,0,-,0,,?19.92,8,20,0,https://www.tiktok.com/@itslex_uk
6,7667180960145309716,jordanlawtonmusic,GO,-1,2,,,Stian,133,Y,1.00,6,70%,7,1,14,15,1,"7,343","18,969",1,"100,000","92,657",Down,1,,"9,095","1,752",,-1,,-2,0,0,0,-,0,,?24.78,8,20,0,https://www.tiktok.com/@jordanlawtonmusic
53,7602712379830566913,iiblamecrypto,GO,-1,,,,Stian,2,Y,1.00,1,12%,7,6,2,15,13,80,207,1,"100,000","99,920",Down,1,,"1,734","1,729",517,2,-1,3,0,0,0,-,0,,?0.27,15,40,0,https://www.tiktok.com/@iiblamecrypto
117,7553625270012395537,evviemae.x1,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,"1,327",0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@evviemae.x1
36,7425485491497304081,sxjayx5,GO,-1,,,,LA,22,Y,1.00,8,94%,7,-1,13,15,2,384,992,1,"100,000","99,616",Down,1,,751,"1,318","2,370",3,4,17,"3,000",0,"3,000",-,0,,?1.30,18,60,0,https://www.tiktok.com/@sxjayx5
118,7568562881596456977,k_bl31,GO,-1,,,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,65,"1,071",0,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@k_bl31
88,7504741588686585872,karlenelee34,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,5,13,1,"100,000","99,995",Down,1,,416,981,686,-1,-1,-3,0,0,0,-,0,,?0.02,8,20,0,https://www.tiktok.com/@karlenelee34
56,7664149880142675986,mel_frisby,GO,-1,2,@mel_frisby,,,3,Y,1.00,1,12%,7,6,1,15,14,58,150,1,"100,000","99,942",Down,1,,901,843,,-1,,-3,0,0,0,-,0,,?0.20,8,20,0,https://www.tiktok.com/@mel_frisby
80,7399908457643687952,hf0901,GO,-1,,,,LA,4,Y,1.00,4,47%,7,3,8,15,7,9,23,1,"100,000","99,991",Down,1,,648,799,0,3,-1,6,0,0,0,-,0,,?0.03,18,60,0,https://www.tiktok.com/@hf0901
119,7528150846060904449,ruta_labrence,GO,-1,,,,Ruta,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,708,"3,304",-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@ruta_labrence
120,7666441043834830868,squishyforlifexoxo,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,703,703,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@squishyforlifexoxo
121,7666441043834830868,squishyforlifexoxo,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,703,703,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@squishyforlifexoxo
44,7535449571028189200,simplyracheljack,GO,-1,,@rachelhack25,,Eliza,9,Y,1.00,5,59%,7,2,10,15,5,200,517,1,"100,000","99,800",Down,1,,338,619,85,3,-1,6,0,0,0,-,0,,?0.68,18,60,0,https://www.tiktok.com/@simplyracheljack
122,7665087806380883985,umarrrr133,GO,-1,2,,,,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,573,573,,-1,,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@umarrrr133
43,7665994672845864980,fonnell1,GO,-1,2,,,,6,Y,1.00,4,47%,7,3,8,15,7,204,527,1,"100,000","99,796",Down,1,,749,545,,5,,12,0,0,0,-,0,,?0.69,22,80,0,https://www.tiktok.com/@fonnell1
123,7563974554528546817,natalieanderson60,GO,-1,,@natsky82,,Eliza,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,102,521,"5,461",-1,-1,-3,500,0,500,-,0,,?0.00,8,20,0,https://www.tiktok.com/@natalieanderson60
124,7510159837490151425,crystalbarbiedolly52,GO,-1,,,,LA,0,Y,1.00,0,0%,7,7,0,15,15,0,0,1,"100,000","100,000",Down,1,,0,520,7,-1,-1,-3,0,0,0,-,0,,?0.00,8,20,0,https://www.tiktok.com/@crystalbarbiedolly52
13,7513287079821000721,thewalkingbusker,GO,-1,,,,Eliza,122,Y,1.00,4,47%,7,3,10,15,5,"3,237","8,362",1,"100,000","96,763",Down,1,,"3,246",491,0,-1,-1,-2,0,0,0,-,0,,?10.92,8,20,0,https://www.tiktok.com/@thewalkingbusker
52,7359136943508291589,harmonicaboy4,GO,-1,,,,Eliza,10,Y,1.00,0,0%,7,7,6,15,9,92,238,1,"100,000","99,908",Down,1,,410,490,193,-1,-1,-3,0,0,0,-,0,,?0.31,8,20,0,https://www.tiktok.com/@harmonicaboy4
