UID,,DIAMONDS,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,TIER,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,LEVEL,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,REWARDS,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,REVENUE,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,BONUS,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!
7359134725199462406,#N/A,,,,,,,,,,,,,1,,,,,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,,$0.00,$0.00,$0.00,,,
7359134735479603205,staceygurns,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134779242971142,asmr_anah,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134767486369797,kelcie092,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134767486402565,malrobisonnn,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134752903004166,nicoleshaee,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134813120659461,jeremiahboutross,"31,840",,,,,,,,1,,,,5,,,,2,,,,,,,,0,0,0,0,0,0,0,,$143.28,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134813124689926,thetiralositwins,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134823299940357,tef_talk,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134909191159814,skylerclarkk,"4,643,203",,,,,,,,8,,,,7,,,,2,,,,,,,,0,0,0,0,0,0,0,,"$20,894.41",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134875733000198,maiazakay,"63,467",,,,,,,,1,,,,3,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$285.60,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134882947235845,20takejake,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134961959632902,thecyrilia,"797,220",,,,,,,,5,,,,7,,,,1,,,,,,,,0,0,0,0,0,0,0,,"$3,587.49",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134960558571525,smity194,"1,010,673",,,,,,,,6,,,,6,,,,3,,,,,,,,0,0,0,0,0,0,0,,"$4,548.03",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134964962623494,.dianaaa__,659,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$2.97,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134981857280006,averynoelles,0,,,,,,,,1,,,,4,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134984718024709,cpayne_04,"355,105",,,,,,,,4,,,,3,,,,-1,,,,,,,,0,0,0,0,0,0,0,,"$1,597.97",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135028791771142,mortgagemagicmike,"4,478",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$20.15,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359134983241531397,natebharris,12,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.05,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135033598377990,frenchiarmelle,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135017219424262,864_queen,"19,560",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$88.02,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135097779519493,bryton.39,"2,137,920",,,,,,,,7,,,,8,,,,2,,,,,,,,0,0,0,0,0,0,0,,"$9,620.64",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135105165656069,freekbass,"1,780,222",,,,,,,,7,,,,7,,,,2,,,,,,,,0,0,0,0,0,0,0,,"$8,011.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135084659736581,samanthasingsit,"20,545",,,,,,,,1,,,,7,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$92.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135112296071173,thomasetv3000,1,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135099172159494,mayhem.meadows.farm,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135070302535686,iamjacobsavage,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135097775456262,aaronfullerx,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135087579004933,hotter_wallen_,0,,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135184236642309,voyce89,"65,864",,,,,,,,1,,,,3,,,,1,,,,,,,,0,0,0,0,0,0,0,,$296.39,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135185687904261,ashtingles,"104,928",,,,,,,,2,,,,4,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$472.18,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135160358699014,kayybaee26,"4,100",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$18.45,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135172404740102,steven_dean,"110,073",,,,,,,,2,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$495.33,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
7359135160358567942,onerahjae,"2,140",,,,,,,,1,,,,1,,,,-1,,,,,,,,0,0,0,0,0,0,0,,$9.63,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,,#NUM!,$0.00,$0.00,$0.00,,,
