,Host,5/27,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,?,? Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,? Last 30,-1 Month ?,-2 Month ?,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Unis,Est Rev,Bonus,Days Month,Hours Month,Rewards Month,Link
1,7359134909191159814,skylerclarkk,GO,5,42,@skylerclark_,Music,MARCO,"12,182",Y,1.00,24,125%,,,87,,,"4,811,175","5,523,942",8,"8,000,000","3,188,825",Down,9,RU,"5,391,554","6,663,460","4,011,955",5,5,99,"697,150","581,000","136,150",1x,"136,150",1,"$21,650",$0.00,22,80,"181,000",https://www.tiktok.com/@skylerclarkk
2,7359134585688522757,ashleyinfl,GO,5,48,@singleonthemove,,CARRINGTON,342,Y,1.00,23,120%,,,86,,,"4,064,382","4,666,513",8,"5,000,000","935,618",-,8,RU,"4,277,451","3,037,167","1,825,263",4,5,88,"3,107,000","70,000",0,1x,0,0,"$18,290","$1,016.10",22,80,"70,000",https://www.tiktok.com/@ashleyinfl
3,7359135097779519493,bryton.39,GO,5,39,@bryton.39,Gaming,CARRINGTON,842,Y,1.00,26,136%,,,167,,,"3,595,833","4,128,549",8,"5,000,000","1,404,167",-,8,,"3,910,293","3,722,144","4,750,201",5,5,87,"7,280,850","7,258,850","22,000",1x,"22,000",0,"$16,181",$898.96,22,80,"108,000",https://www.tiktok.com/@bryton.39
4,7558760842850746382,sarahegant,GO,5,8,@sarahegant,,CARRINGTON,"1,649",Y,1.00,24,125%,,,95,,,"3,340,378","3,835,249",8,"5,000,000","1,659,622",-,8,,"3,647,519","4,631,085","3,407,127",5,5,89,"168,000","115,000","53,000",1x,"53,000",0,"$15,032",$835.09,22,80,0,https://www.tiktok.com/@sarahegant
5,7359135105165656069,freekbass,GO,5,39,@freekbass,Music,CARRINGTON,"3,043",Y,1.00,27,141%,,,91,,,"2,894,981","3,323,867",7,"5,000,000","2,105,019",Down,8,,"3,052,833","3,592,748","4,398,384",5,5,86,"2,035,700","2,031,200","4,500",1x,"4,500",0,"$13,027",$0.00,22,80,0,https://www.tiktok.com/@freekbass
6,7359135727810052101,hotterjakepaul,GO,4,35,@hotterjakepaul,,CARRINGTON,221,Y,1.00,20,104%,22,2,64,80,16,"2,267,274","2,603,166",7,"3,000,000","732,726",-,7,,"2,422,687","2,743,338","2,432,824",5,5,80,"942,100","942,100",0,1x,0,0,"$10,203",$566.82,22,80,"9,000",https://www.tiktok.com/@hotterjakepaul
7,7497777597393190929,stefanielauryn415,GO,5,14,@stefanielauryn415,,CARRINGTON,320,Y,1.00,24,125%,,,81,,,"2,107,467","2,419,684",7,"3,000,000","892,533",-,7,RU,"2,367,149","1,691,929","1,096,123",5,3,84,"152,800","111,000","41,800",1x,"41,800",0,"$9,484",$526.87,22,80,"35,000",https://www.tiktok.com/@stefanielauryn415
8,7359134960558571525,smity194,GO,4,41,@smity194,,CARRINGTON,463,Y,1.00,26,136%,22,-4,74,80,6,"2,068,250","2,374,657",7,"3,000,000","931,750",-,7,,"2,208,361","2,605,629","2,851,517",5,4,80,"3,130,050","3,008,600","121,450",1x,"121,450",0,"$9,307",$517.06,22,80,"42,000",https://www.tiktok.com/@smity194
9,7359137668212490245,sebbythecatdad,GO,5,29,@sebbythecatdad,,CARRINGTON,243,Y,1.00,27,141%,,,146,,,"2,043,251","2,345,955",7,"3,000,000","956,749",-,7,RU,"2,271,227","1,994,019","938,049",5,5,83,"328,000","330,000","-2,000",1x,0,0,"$9,195",$510.81,22,80,0,https://www.tiktok.com/@sebbythecatdad
10,7359135407352610822,burnt.tatertot,GO,5,36,@burnt.tatertot,Gaming,CARRINGTON,146,Y,1.00,27,141%,,,111,,,"1,992,112","2,287,240",7,"3,000,000","1,007,888",-,7,RU,"2,159,559","1,935,205","972,209",5,5,83,"134,000","124,000","10,000",1x,"10,000",0,"$8,965",$498.03,22,80,"4,000",https://www.tiktok.com/@burnt.tatertot
10,7530440132726439949,itspopejoy,GO,5,2,@itspopejoy,,CARRINGTON,846,Y,1.00,25,130%,,,166,,,"1,914,652","2,198,304",7,"1,000,000","-914,652",Up,5,RU,"2,002,351","630,769",,4,,71,0,0,0,1x,0,0,"$8,616",$478.66,22,80,0,https://www.tiktok.com/@itspopejoy
12,7433607263870517264,alexaraeemusic,GO,4,19,@alexaraeemusic,Music,CARRINGTON,"1,901",Y,1.00,21,110%,22,1,72,80,8,"1,833,556","2,105,194",7,"3,000,000","1,166,444",-,7,,"2,114,419","2,146,263","2,735,735",4,5,75,"508,000","501,200",-200,1x,0,0,"$8,251",$458.39,22,80,"1,000",https://www.tiktok.com/@alexaraeemusic
13,7359134961959632902,thecyrilia,GO,3,41,@thecyrilia,Music,CARRINGTON,"1,084",Y,1.00,16,84%,18,2,56,60,4,"1,530,336","1,757,052",6,"3,000,000","1,469,664",Down,7,RU,"1,602,910","1,747,924","1,026,549",4,3,74,"976,850","853,500","123,350",1x,"123,350",0,"$6,887",$0.00,22,80,"26,000",https://www.tiktok.com/@thecyrilia
14,7581605738645078071,jordan.borges,GO,5,6,@jordan.borges,,DYLAN + CARRINGTON,160,Y,1.00,26,136%,,,126,,,"1,504,714","1,727,635",6,"1,600,000","95,286",-,6,RU,"1,756,821","1,376,207","614,321",5,5,80,"66,300","31,300","35,000",1x,"35,000",0,"$6,771",$376.18,22,80,"33,000",https://www.tiktok.com/@jordan.borges
15,7359135283092226053,oregonstargirl,GO,4,37,@oregonstargirl,,CARRINGTON,118,Y,1.00,24,125%,22,-2,63,80,17,"1,159,766","1,331,583",6,"1,600,000","440,234",-,6,,"1,484,331","1,478,224","1,706,463",5,5,75,"1,155,500","1,155,500",0,1x,0,0,"$5,219",$289.94,22,80,0,https://www.tiktok.com/@oregonstargirl
17,7359135484905553925,nicolefarahh,GO,2,36,@nicolefarah.,,MARCO,"1,634",Y,1.00,11,57%,15,4,36,40,4,"1,112,774","1,277,629",6,"1,000,000","-112,774",Up,5,RU,"1,112,774","532,405",79,2,-1,54,"11,250","35,000","-23,750",1x,0,0,"$5,007",$0.00,15,40,0,https://www.tiktok.com/@nicolefarahh
16,7359134572702957574,jayden_egg,GO,5,49,@smileegg.,Gaming,CARRINGTON,472,Y,1.00,25,130%,,,133,,,"1,124,575","1,291,179",6,"3,000,000","1,875,425",Down,7,,"1,323,268","2,032,760","3,549,317",5,5,79,"405,300","405,300",0,1x,0,0,"$5,061",$0.00,22,80,"12,000",https://www.tiktok.com/@jayden_egg
19,7359135264167428102,coloreomusic,GO,5,37,@coloreo,"Music, Gaming",CARRINGTON,270,Y,1.00,25,130%,,,116,,,"1,024,790","1,176,611",6,"1,600,000","575,210",-,6,,"1,275,933","1,181,657","1,850,049",5,5,77,"615,450","630,450","-15,000",1x,0,0,"$4,612",$256.20,22,80,0,https://www.tiktok.com/@coloreomusic
18,7359138280010645509,ageofangel,GO,5,28,@theageofangel,,CARRINGTON,213,Y,1.00,25,130%,,,144,,,"1,031,530","1,184,349",6,"1,600,000","568,470",-,6,,"1,118,835","1,208,722","1,983,741",5,5,77,"353,750","353,500",250,1x,250,0,"$4,642",$257.88,22,80,0,https://www.tiktok.com/@ageofangel
20,7359136363951816710,rockylanemusic,GO,4,32,@rockylane,Music,CARRINGTON,298,Y,1.00,26,136%,22,-4,65,80,15,"987,932","1,134,292",5,"1,600,000","612,068",Down,6,,"1,051,037","1,352,621","1,043,732",5,5,72,"1,091,364","1,082,864","8,500",1x,"8,500",0,"$4,446",$0.00,22,80,"4,000",https://www.tiktok.com/@rockylanemusic
21,7359136672245809158,natalianope,GO,4,32,@nataliejoke,Music,CARRINGTON,218,Y,1.00,23,120%,22,-1,74,80,6,"866,502","994,873",5,"1,000,000","133,498",-,5,RU,"949,182","693,591","461,211",3,2,60,"752,450","747,450","5,000",1x,"5,000",0,"$3,899",$0.00,18,60,0,https://www.tiktok.com/@natalianope
22,7359136208586637317,thebellaflora__,GO,4,33,@thebellaflora_,,CARRINGTON,208,Y,1.00,21,110%,22,1,68,80,12,"727,936","835,778",5,"1,600,000","872,064",Down,6,RU,"891,383","1,517,463","956,956",4,5,70,"113,250","90,000","4,250",1x,"4,250",0,"$3,276",$0.00,22,80,0,https://www.tiktok.com/@thebellaflora__
23,7417960855335354369,pcdrums76,GO,2,21,@pcdrums76,Music,CARRINGTON,476,Y,1.00,13,68%,15,2,46,40,-6,"661,467","759,462",5,"3,000,000","2,338,533",Down,7,,"726,434","1,862,404","1,855,328",5,5,64,"3,287,500","3,287,500",0,1x,0,0,"$2,977",$0.00,22,80,0,https://www.tiktok.com/@pcdrums76
24,7359139290301038597,stephymaddy,GO,5,3,@_stephymaddy_,Music,SKYLER + CARRINGTON,924,Y,1.00,23,120%,,,146,,,"637,164","731,559",5,"1,000,000","362,836",-,5,RU,"792,794","681,208","36,096",5,5,65,"6,000","6,000",0,1x,0,0,"$2,867",$0.00,22,80,"6,000",https://www.tiktok.com/@stephymaddy
25,7454359110578864145,alliemsx,GO,4,18,@alliems,Gaming,CARRINGTON,257,Y,1.00,20,104%,22,2,100,80,-20,"554,145","636,241",5,"500,000","-54,145",Up,4,,"568,623","450,008","402,786",5,4,63,"237,000","236,500",500,1x,500,0,"$2,494",$0.00,22,80,0,https://www.tiktok.com/@alliemsx
26,7527933905626988561,shanellenikolee,GO,4,11,@shanellenikole,,CARRINGTON,260,Y,1.00,23,120%,22,-1,69,80,11,"544,787","625,496",5,"1,000,000","455,213",-,5,,"551,845","602,290","3,434,336",3,5,56,"177,000","175,000","2,000",1x,"2,000",0,"$2,452",$0.00,18,60,0,https://www.tiktok.com/@shanellenikolee
27,7359139118909095942,sparksboi97,GO,4,27,@sparksboi97_16265,,CARRINGTON,555,Y,1.00,20,104%,22,2,61,80,19,"541,781","622,045",5,"1,000,000","458,219",-,5,RU,"595,406","638,706","136,559",3,1,56,"8,500","8,500",0,1x,0,0,"$2,438",$0.00,18,60,0,https://www.tiktok.com/@sparksboi97
28,7359135322615185413,aaronhunt30,GO,2,37,@aaronhunt30,,CARRINGTON,135,Y,1.00,13,68%,15,2,31,40,9,"532,389","611,261",5,"300,000","-232,389",Up,3,,"535,102","238,652","573,693",1,2,41,"384,250","384,250",0,1x,0,0,"$2,396",$0.00,11,30,0,https://www.tiktok.com/@aaronhunt30
29,7359135698651217926,mystiquedejello,GO,1,35,@mystiquedejello,,CARRINGTON,"1,179",Y,1.00,9,47%,11,2,28,30,2,"510,253","585,846",5,"500,000","-10,253",Up,4,,"510,253","409,347","853,234",1,3,42,"15,425","1,000","14,425",1x,"14,425",0,"$2,296",$0.00,11,30,0,https://www.tiktok.com/@mystiquedejello
31,7513787055730638849,cwdetroit,GO,4,8,@cwdetroit.,,CARRINGTON,230,Y,1.00,21,110%,22,1,87,80,-7,"500,229","574,337",5,"1,600,000","1,099,771",Down,6,,"608,115","1,246,136","1,884,411",5,5,68,"147,000","147,000",0,1x,0,0,"$2,251",$0.00,22,80,0,https://www.tiktok.com/@cwdetroit
30,7359135857971920902,musicalnugget,GO,3,23,@iamamomnow,Music,CARRINGTON,229,Y,1.00,18,94%,18,0,46,60,14,"502,738","577,218",5,"500,000","-2,738",Up,4,RU,"541,538","375,108","257,784",3,2,51,"1,000",0,"1,000",1x,"1,000",0,"$2,262",$0.00,18,60,0,https://www.tiktok.com/@musicalnugget
32,7626542515704840205,djuntvld,GO,2,2,@untvld,Music,JOE,372,Y,1.00,13,68%,15,2,41,40,-1,"452,849","519,938",4,"100,000","-352,849",Up,1,,"454,314","61,673",,4,,36,0,0,0,1x,0,0,"$2,038",$0.00,22,80,0,https://www.tiktok.com/@djuntvld
32,7359134574070398981,sierralandmagic,GO,3,48,@sierralandasmr,"ASMR, Music",CARRINGTON,623,Y,1.00,15,78%,18,3,58,60,2,"476,083","546,614",4,"300,000","-176,083",Up,3,RU,"546,319","294,907","50,554",2,-1,45,"609,475","73,000","12,075",1x,"12,075",0,"$2,142",$0.00,15,40,0,https://www.tiktok.com/@sierralandmagic
36,7576723590549389326,gaywhonotme,GO,4,7,@brandongraja6867,,SVEN + CARRINGTON,594,Y,1.00,19,99%,22,3,74,80,6,"433,033","497,186",4,"1,000,000","566,967",Down,5,,"530,524","937,375","834,334",5,5,63,"105,300","105,300",0,1x,0,0,"$1,949",$0.00,22,80,"1,000",https://www.tiktok.com/@gaywhonotme
34,7359136272692117509,koryskitchen,GO,3,33,@koryskitchen,Food,CARRINGTON,292,Y,1.00,19,99%,18,-1,50,60,10,"437,911","502,787",4,"1,000,000","562,089",Down,5,,"633,463","618,870","619,065",4,4,54,"95,750","45,000","6,250",1x,"6,250",0,"$1,971",$0.00,22,80,0,https://www.tiktok.com/@koryskitchen
35,7636597331743391757,justinsmith8689,GO,5,1,@facelessopossum,,PAUL,251,Y,0.84,22,115%,,,116,,,"434,382","498,735",4,"100,000","-334,382",Up,1,,"434,382",,,,,30,0,0,0,1x,0,0,"$1,955",$0.00,7,17,0,https://www.tiktok.com/@justinsmith8689
38,7368626525710794769,daisy_dew4,GO,5,25,@brittneya54_73081,,CARRINGTON,417,Y,1.00,25,130%,,,145,,,"417,729","479,615",4,"1,000,000","582,271",Down,5,,"468,094","905,856","1,034,292",5,5,66,"170,000","110,000","60,000",1x,"60,000",0,"$1,880",$0.00,22,80,0,https://www.tiktok.com/@daisy_dew4
37,7359136220175237125,samuelciafaloni,GO,4,16,@crippychuffy2786,,CARRINGTON,361,Y,1.00,19,99%,22,3,96,80,-16,"428,490","491,970",4,"1,000,000","571,510",Down,5,RU,"498,113","652,347","239,244",4,5,59,"9,000","7,000","2,000",1x,"2,000",0,"$1,928",$0.00,22,80,"1,000",https://www.tiktok.com/@samuelciafaloni
40,7359135281678712838,blakeslifeline,GO,3,37,@daddyblake03,,CARRINGTON,300,Y,1.00,20,104%,18,-2,47,60,13,"393,232","451,489",4,"300,000","-93,232",Up,3,,"432,672","292,948","373,248",3,2,48,"260,750","105,000","155,750",1x,"155,750",0,"$1,770",$0.00,18,60,0,https://www.tiktok.com/@blakeslifeline
39,7451090481020321808,growandglowasmr,GO,4,18,@growandglowasmr,ASMR,BRYTON + CARRINGTON,851,Y,1.00,19,99%,22,3,84,80,-4,"412,059","473,105",4,"1,000,000","587,941",Down,5,,"435,999","638,893","668,741",5,5,60,"303,500","273,500","32,500",1x,"32,500",0,"$1,854",$0.00,22,80,0,https://www.tiktok.com/@growandglowasmr
41,7359134984718024709,cpayne_04,GO,1,40,@cpayne_04,,CARRINGTON,214,Y,1.00,12,63%,11,-1,20,30,10,"382,279","438,913",4,"500,000","117,721",-,4,,"382,279","333,665","591,400",1,2,34,"26,625","26,000",625,1x,625,0,"$1,720",$0.00,11,30,0,https://www.tiktok.com/@cpayne_04
42,7359135172404740102,steven_dean,GO,2,38,@steven_dean.,,CARRINGTON,256,Y,1.00,11,57%,15,4,37,40,3,"372,278","427,430",4,"1,000,000","627,722",Down,5,RU,"389,770","609,900","54,027",3,0,48,"9,975",0,"9,975",1x,"9,975",0,"$1,675",$0.00,18,60,0,https://www.tiktok.com/@steven_dean
43,7539009437726720013,damoyee,GO,2,10,@damoyee,Music,CARRINGTON,"1,303",Y,1.00,12,63%,15,3,49,40,-9,"368,003","422,522",4,"500,000","131,997",-,4,,"392,274","414,845","435,801",3,2,44,"1,000","1,000",0,1x,0,0,"$1,656",$0.00,18,60,0,https://www.tiktok.com/@damoyee
44,7387268256991657985,titancosplays,GO,5,8,@wolfclanz,,CARRINGTON,272,Y,1.00,27,141%,,,117,,,"353,270","405,606",4,"500,000","146,730",-,4,,"404,380","474,747","708,957",5,5,59,"31,300","2,300","29,000",1x,"29,000",0,"$1,590",$0.00,22,80,0,https://www.tiktok.com/@titancosplays
45,7359134698641293317,bobbyjwil,GO,3,45,@bobbyjwil,,CARRINGTON,346,Y,1.00,17,89%,18,1,77,60,-17,"290,302","333,310",3,"500,000","209,698",Down,4,,"298,541","486,161","869,861",5,5,54,"120,250","120,000",250,1x,250,0,"$1,306",$0.00,22,80,0,https://www.tiktok.com/@bobbyjwil
46,7359137631822708741,sam_g_89,GO,1,30,@sam_g_89,Gaming,BRYTON,153,Y,1.00,11,57%,11,0,20,30,10,"282,791","324,686",3,"1,000,000","717,209",Down,5,,"320,412","528,447","604,862",4,4,45,"639,500","639,500",0,1x,0,0,"$1,273",$0.00,22,80,"2,000",https://www.tiktok.com/@sam_g_89
47,7527045326104985617,jordananthonymusic,GO,-1,11,@itsjordananthony,Music,LEVI,200,Y,1.00,10,52%,7,-3,14,15,1,"268,407","308,171",3,"300,000","31,593",Down,3,,"303,511","298,270","324,977",0,1,27,"2,000",0,"2,000",-,0,0,"$1,208",$0.00,8,20,0,https://www.tiktok.com/@jordananthonymusic
48,7359135408745447429,b.herbz,GO,0,36,@b.herb,,CARRINGTON,39,Y,1.00,7,37%,8,1,15,20,5,"263,449","302,478",3,"1,000,000","736,551",Down,5,RU,"263,449","843,719","319,715",3,-1,45,"105,150","105,150",0,1x,0,0,"$1,186",$0.00,18,60,0,https://www.tiktok.com/@b.herbz
50,7359134701724041221,yourfavderek,GO,5,45,@officialderek,,CARRINGTON,181,Y,1.00,27,141%,,,158,,,"243,228","279,262",3,"500,000","256,772",Down,4,RU,"283,105","390,280","293,083",5,5,59,"15,000","15,000",0,1x,0,0,"$1,095",$0.00,22,80,0,https://www.tiktok.com/@yourfavderek
50,7453646179688169488,lighskinkeithsweat,GO,2,18,@zaytovenn6,,LEVI,42,Y,1.00,13,68%,15,2,50,40,-10,"239,836","275,367",3,"100,000","-139,836",Up,1,,"256,665","46,932",-2,-1,,21,0,0,0,-,0,0,"$1,079",$0.00,8,20,0,https://www.tiktok.com/@lighskinkeithsweat
52,7628074184152989709,legallyjacked,GO,-1,2,@avarobar,,MARCO,433,Y,1.00,6,31%,7,1,13,15,2,"237,869","273,109",3,"500,000","262,131",Down,4,RU,"326,768","340,636",,2,,33,0,0,0,1x,0,0,"$1,070",$0.00,15,40,0,https://www.tiktok.com/@legallyjacked
49,7554552006812188727,imjustnicob,GO,5,9,@imjustnico.,Gaming,BRYTON + CARRINGTON,215,Y,1.00,24,125%,,,194,,,"248,614","285,446",3,"500,000","251,386",Down,4,,"271,103","460,647","633,926",5,5,58,"119,000","119,000",0,1x,0,0,"$1,119",$0.00,22,80,0,https://www.tiktok.com/@imjustnicob
52,7359136287120719877,redrumstudios,GO,4,33,@redrumstudios,Gaming,BRYTON,81,Y,1.00,21,110%,22,1,90,80,-10,"239,558","275,048",3,"200,000","-39,558",Up,2,,"247,479","176,793","492,603",3,5,46,"4,000",0,"4,000",1x,"4,000",0,"$1,078",$0.00,18,60,0,https://www.tiktok.com/@redrumstudios
54,7359135268521246726,thetrapviolinist,GO,0,37,@thetrapviolinist,Music,CARRINGTON,"1,051",Y,1.00,12,63%,8,-4,19,20,1,"232,877","267,377",3,"1,000,000","767,123",Down,5,,"253,900","886,350","758,964",1,2,36,"189,000","127,000","62,000",1x,"62,000",0,"$1,048",$0.00,11,30,0,https://www.tiktok.com/@thetrapviolinist
56,7359134498598158342,caleb_caldwell1,GO,2,50,@calebcaldwell,Gaming,LEVI,152,Y,1.00,14,73%,15,1,43,40,-3,"204,790","235,129",3,"200,000","-4,790",Up,2,,"268,298","134,944","4,870",-1,-1,26,"83,125",0,"83,125",-,0,0,$922,$0.00,8,20,0,https://www.tiktok.com/@caleb_caldwell1
55,7359134456151867397,luke.h.reynoldsmusic,GO,4,52,@lukereynoldsmusic,Music,CARRINGTON,"3,403",Y,1.00,25,130%,22,-3,73,80,7,"205,931","236,439",3,"500,000","294,069",Down,4,,"229,842","386,339","390,543",5,4,54,"142,500","147,500","-5,000",1x,0,0,$927,$0.00,22,80,0,https://www.tiktok.com/@luke.h.reynoldsmusic
57,7359135184236642309,voyce89,GO,2,38,@voyce89,Music,CARRINGTON,491,Y,1.00,12,63%,15,3,37,40,3,"192,930","221,512",2,"200,000","7,070",-,2,,"201,556","186,975","151,157",2,1,31,"93,250","44,000","49,250",1x,"49,250",0,$868,$0.00,15,40,0,https://www.tiktok.com/@voyce89
59,7409743090665242641,theviolution,GO,-1,21,@theviolution,Music,CARRINGTON,309,Y,1.00,5,26%,7,2,17,15,-2,"185,659","213,164",2,"1,600,000","1,414,341",Down,6,RU,"216,706","1,310,166","807,285",5,5,52,"2,533,600","2,533,600",0,1x,0,0,$835,$0.00,22,80,0,https://www.tiktok.com/@theviolution
58,7391438796933546001,mirsowavy,GO,4,10,@shifty0157,Gaming,CARRINGTON,89,Y,1.00,20,104%,22,2,84,80,-4,"189,039","217,045",2,"1,000,000","810,961",Down,5,,"224,803","641,752","802,393",5,5,55,"5,000","5,000",0,1x,0,0,$851,$0.00,22,80,0,https://www.tiktok.com/@mirsowavy
60,7405660915452084225,willied78,GO,3,2,@willie_16306,Music,SKYLER,236,Y,1.00,21,110%,18,-3,59,60,1,"183,291","210,445",2,"200,000","16,709",-,2,,"201,320","52,993",,4,,32,0,0,0,1x,0,0,$825,$0.00,22,80,0,https://www.tiktok.com/@willied78
62,7433657413758304273,a.marie.911,GO,3,15,@a.marie.911,,CARRINGTON,258,Y,1.00,23,120%,18,-5,50,60,10,"178,500","204,944",2,"200,000","21,500",-,2,RU,"206,273","197,037","91,024",3,5,38,"12,000",0,"12,000",1x,"12,000",0,$803,$0.00,18,60,0,https://www.tiktok.com/@a.marie.911
63,7444838821734268929,fishon053,GO,3,18,@brian503669,,CARRINGTON,198,Y,1.00,17,89%,18,1,63,60,-3,"177,484","203,778",2,"300,000","122,516",Down,3,RU,"211,976","215,871","128,255",4,3,45,"31,800","31,800",0,1x,0,0,$799,$0.00,22,80,"5,000",https://www.tiktok.com/@fishon053
60,7359139156565622790,naseem0815,GO,5,27,@nramcharan,,CARRINGTON,76,Y,1.00,26,136%,,,84,,,"185,368","212,830",2,"200,000","14,632",-,2,,"196,431","154,727","237,554",4,5,44,"4,750",0,"4,750",1x,"4,750",0,$834,$0.00,22,80,0,https://www.tiktok.com/@naseem0815
64,7359135185687904261,ashtingles,GO,1,38,@asmrashleybenitez,ASMR,LEVI,"1,208",Y,1.00,14,73%,11,-3,25,30,5,"168,778","193,782",2,"200,000","31,222",-,2,,"178,647","144,951","204,573",2,3,26,"3,500","6,000","-2,500",-,0,0,$760,$0.00,15,40,0,https://www.tiktok.com/@ashtingles
65,7359135998355472389,brayden.pantel,GO,-1,34,@brayden.pantel,,LEVI,66,Y,1.00,2,10%,7,5,3,15,12,"167,275","192,056",2,"1,000,000","832,725",Down,5,,"167,275","574,524","444,177",-1,-1,25,"65,000","75,000","-10,000",-,0,0,$753,$0.00,8,20,0,https://www.tiktok.com/@brayden.pantel
67,7359137901097025542,hunterbenjamin3,GO,-1,3,@hunterbenjamin,,LEVI,29,Y,1.00,4,21%,7,3,12,15,3,"165,400","189,904",2,"100,000","-65,400",Down,1,,"165,400","65,813","27,541",1,-1,14,0,0,0,-,0,0,$744,$0.00,11,30,0,https://www.tiktok.com/@hunterbenjamin3
65,7627248139279319053,dalanietaylor,GO,3,2,@dalanietaylor,Music,SKYLER,"7,872",Y,1.00,16,84%,18,2,54,60,6,"165,666","190,209",2,"200,000","34,334",-,2,RU,"185,048","120,592",,3,,33,0,0,0,1x,0,0,$745,$0.00,18,60,0,https://www.tiktok.com/@dalanietaylor
68,7582216178916180023,bumbl3beedee,GO,4,3,@allcrossedup,Gaming,CARRINGTON,599,Y,1.00,19,99%,22,3,137,80,-57,"158,915","182,458",2,"200,000","41,085",-,2,,"170,494","191,141","156,581",5,5,45,300,300,0,1x,0,0,$715,$0.00,22,80,0,https://www.tiktok.com/@bumbl3beedee
69,7566313243967471630,davidwilliamwatts,GO,1,8,@dwatts7776,,ASHLEY,150,Y,1.00,11,57%,11,0,24,30,6,"158,239","181,682",2,"300,000","141,761",Down,3,,"205,305","295,503","322,357",3,3,34,"65,900","33,900","32,000",1x,"32,000",0,$712,$0.00,18,60,0,https://www.tiktok.com/@davidwilliamwatts
70,7359134875733000198,maiazakay,GO,-1,42,@maiazakay,Music,MARCO,80,Y,1.00,5,26%,7,2,9,15,6,"156,467","179,647",2,"300,000","143,533",Down,3,,"156,467","282,427","605,721",-1,1,21,"61,000","46,000","15,000",-,0,0,$704,$0.00,8,20,0,https://www.tiktok.com/@maiazakay
71,7359135160358699014,kayybaee26,GO,3,38,@kayy.jayy26,,CARRINGTON,38,Y,1.00,17,89%,18,1,41,60,19,"146,347","168,028",2,"500,000","353,653",Down,4,RU,"175,704","476,228","78,080",3,1,41,"10,500",0,"4,500",1x,"4,500",0,$659,$0.00,18,60,0,https://www.tiktok.com/@kayybaee26
73,7535336479992889358,whitn084,GO,3,10,@whitney552,,CARRINGTON,"1,940",Y,1.00,18,94%,18,0,45,60,15,"142,328","163,414",2,"200,000","57,672",-,2,,"154,833","165,745","100,653",4,5,37,"16,000",0,"16,000",1x,"16,000",0,$640,$0.00,22,80,0,https://www.tiktok.com/@whitn084
76,7460375701229912080,azyatk,GO,0,7,@azyatk,Music,LEVI,"3,473",Y,1.00,14,73%,8,-6,18,20,2,"135,939","156,078",2,"100,000","-35,939",Up,1,,"135,939","34,472","225,559",-1,0,11,"12,300","12,300",0,-,0,0,$612,$0.00,8,20,0,https://www.tiktok.com/@azyatk
77,7405584046161412113,tbone_ga,GO,3,22,@tbone_94912,,CARRINGTON,270,Y,1.00,19,99%,18,-1,48,60,12,"134,190","154,070",2,"200,000","65,810",-,2,,"137,455","146,979","122,550",3,5,33,500,0,500,1x,500,0,$604,$0.00,18,60,0,https://www.tiktok.com/@tbone_ga
74,7546017169939709965,ardy.afshar,GO,0,9,@ardy.afshar,,BRYTON,46,Y,1.00,8,42%,8,0,17,20,3,"137,801","158,216",2,"100,000","-37,801",Up,1,,"137,801","48,920","80,634",-1,-1,11,"17,000",0,"17,000",-,0,0,$620,$0.00,8,20,0,https://www.tiktok.com/@ardy.afshar
72,7549665746826281015,kimberlyisabelle0,GO,5,9,@kimbroroberts,,CARRINGTON,"1,918",Y,1.00,25,130%,,,105,,,"145,047","166,535",2,"300,000","154,953",Down,3,RU,"147,026","247,665","179,637",5,5,52,"2,000",0,"2,000",1x,"2,000",0,$653,$0.00,22,80,0,https://www.tiktok.com/@kimberlyisabelle0
75,7359135762769608710,mistresswednesday13,GO,2,35,@mistresswednesday,,CARRINGTON,501,Y,1.00,12,63%,15,3,69,40,-29,"136,770","157,032",2,"1,000,000","863,230",Down,5,RU,"157,908","681,439","431,763",5,3,49,"6,500","6,500",0,1x,0,0,$615,$0.00,22,80,0,https://www.tiktok.com/@mistresswednesday13
79,7359138297592938501,sonnybrightside,GO,2,28,@sonnybrightside,,BRYTON,147,Y,1.00,11,57%,15,4,42,40,-2,"122,478","140,623",2,"100,000","-22,478",Up,1,,"123,358","38,289","77,795",0,1,15,"22,000","22,000",0,-,0,0,$551,$0.00,8,20,0,https://www.tiktok.com/@sonnybrightside
78,7595776572192243726,muthafknsid,GO,4,5,@sid13md.,,BRYTON,612,Y,1.00,20,104%,22,2,147,80,-67,"124,562","143,016",2,"200,000","75,438",-,2,,"127,062","144,619","315,928",5,5,42,"8,300","8,300",0,1x,0,0,$561,$0.00,22,80,0,https://www.tiktok.com/@muthafknsid
80,7359137269107916806,metalkitten2,GO,2,30,@mistressmetalkitten,,CARRINGTON,550,Y,1.00,12,63%,15,3,30,40,10,"121,716","139,748",2,"300,000","178,284",Down,3,,"137,717","239,008","422,065",3,3,35,"14,000",0,"14,000",1x,"14,000",0,$548,$0.00,18,60,0,https://www.tiktok.com/@metalkitten2
