,Host,3/12,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Rewards Month,Link
12,7359135727810052101,hotterjakepaul,GO,1,33,@hotterjakepaul,,CARRINGTON,133,Y,1.00,10,117%,11,1,33,30,-3,"744,164","1,922,424",5,"1,000,000","255,836",-,5,,"1,170,035","798,841","856,560",4,3,68,"929,800","929,800",0,1x,0,22,80,0,https://www.tiktok.com/@hotterjakepaul
14,7417960855335354369,pcdrums76,GO,2,19,@pcdrums76,Music,CARRINGTON,493,Y,1.00,12,141%,15,3,51,40,-11,"722,093","1,865,407",5,"1,000,000","277,907",-,5,,"1,031,779","682,236","1,311,281",0,4,63,"3,287,650","3,287,500",150,1x,150,8,20,0,https://www.tiktok.com/@pcdrums76
13,7359138280010645509,ageofangel,GO,1,26,@theageofangel,,CARRINGTON,110,Y,1.00,10,117%,11,1,96,30,-66,"725,116","1,873,216",5,"3,000,000","2,274,884",Down,7,,"2,221,029","1,957,973","1,584,028",6,6,84,"353,750","353,500",250,2x,250,22,80,0,https://www.tiktok.com/@ageofangel
11,7359135814745391109,tha_dripp_phamily,GO,2,32,@moedagoat_,,CARRINGTON,481,Y,1.00,12,141%,15,3,56,40,-16,"754,668","1,949,559",5,"1,000,000","245,332",-,5,,"1,122,106","501,009","340,183",2,1,54,"188,375","178,000","10,375",1x,"10,375",15,40,"7,000",https://www.tiktok.com/@tha_dripp_phamily
15,7513787055730638849,cwdetroit,GO,2,6,@cwdetroit.,,CARRINGTON,189,Y,1.00,12,141%,15,3,70,40,-30,"719,634","1,859,055",5,"1,600,000","880,366",Down,6,,"1,592,674","1,366,037","1,039,231",6,6,82,"112,000","112,000",0,2x,0,22,80,0,https://www.tiktok.com/@cwdetroit
16,7558760842850746382,sarahegant,GO,0,6,@sarahegant,,CARRINGTON,621,Y,1.00,7,82%,8,1,18,20,2,"593,186","1,532,397",5,"1,000,000","406,814",-,5,,"980,788","860,680","269,557",1,0,45,"76,000","28,000","48,000",1x,"48,000",11,30,0,https://www.tiktok.com/@sarahegant
18,7368626525710794769,daisy_dew4,GO,2,23,@brittneya54_73081,,CARRINGTON,910,Y,1.00,12,141%,15,3,71,40,-31,"549,112","1,418,539",5,"500,000","-49,112",Up,4,,"830,599","389,163","301,118",0,0,47,"164,000","59,000","105,000",1x,"105,000",8,20,"2,000",https://www.tiktok.com/@daisy_dew4
20,7359136208586637317,thebellaflora__,GO,2,31,@thebellaflora_,,CARRINGTON,143,Y,1.00,12,141%,15,3,70,40,-30,"463,663","1,197,796",4,"1,000,000","536,337",Down,5,,"1,311,282","997,055","497,820",5,3,71,"78,250","45,000","14,250",2x,"14,250",22,80,"15,000",https://www.tiktok.com/@thebellaflora__
19,7359134698641293317,bobbyjwil,GO,2,43,@bobbyjwil,,CARRINGTON,161,Y,1.00,11,129%,15,4,54,40,-14,"465,705","1,203,071",4,"1,000,000","534,295",Down,5,,"831,540","629,282","596,896",4,5,67,"120,250","120,000",250,1x,250,22,80,0,https://www.tiktok.com/@bobbyjwil
17,7409743090665242641,theviolution,GO,1,19,@theviolution,Music,CARRINGTON,717,Y,1.00,10,117%,11,1,51,30,-21,"552,167","1,426,431",5,"300,000","-252,167",Up,3,,"736,479","252,697","833,320",-1,1,46,"2,533,600","2,533,600",0,1x,0,8,20,0,https://www.tiktok.com/@theviolution
22,7576723590549389326,gaywhonotme,GO,2,5,@brandongraja6867,,SVEN + CARRINGTON,285,Y,1.00,12,141%,15,3,37,40,3,"397,856","1,027,795",4,"1,600,000","1,202,144",Down,6,,"1,042,492","1,124,167","864,252",6,5,77,"69,000","64,000","5,000",2x,"5,000",22,80,"5,000",https://www.tiktok.com/@gaywhonotme
