,Host,3/5,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Link
19,7359136287120719877,redrumstudios,GO,,31,@.ghostt72,,BRYTON,60,Y,1.00,5,141%,7,2,31,15,-16,"164,287","1,018,579",2,"200,000","35,713",Down,2,,"61,261","105,356","2,994",2,-1,19,"4,000",0,"4,000",-,0,15,40,https://www.tiktok.com/@redrumstudios
20,7409743090665242641,theviolution,GO,,19,@theviolution,Music,CARRINGTON,361,Y,1.00,4,113%,7,3,21,15,-6,"156,702","971,552",2,"300,000","143,298",Down,3,,"120,679","252,697","833,320",-1,1,37,"2,533,600","10,000",0,1x,0,8,20,https://www.tiktok.com/@theviolution
21,7433607263870517264,alexaraeemusic,GO,,17,@alexaraeemusic,Music,CARRINGTON,508,Y,1.00,3,85%,7,4,6,15,9,"145,995","905,169",2,"3,000,000","2,854,005",Down,7,,"1,807,341","2,340,757","1,490,015",4,2,67,"458,000","78,600",-200,1x,0,22,80,https://www.tiktok.com/@alexaraeemusic
22,7359135283092226053,oregonstargirl,GO,,35,@oregonstargirl,,CARRINGTON,18,Y,1.00,5,141%,7,2,10,15,5,"136,987","849,319",2,"1,600,000","1,463,013",Down,6,,"142,500","1,531,102","1,579,057",4,6,75,"1,120,500","105,000",0,2x,0,22,80,https://www.tiktok.com/@oregonstargirl
23,7359135407352610822,burnt.tatertot,GO,,34,@burnt.tatertot,Gaming,CARRINGTON,8,Y,1.00,3,85%,7,4,7,15,8,"134,674","834,979",2,"1,600,000","1,465,326",Down,6,,"198,797","1,329,052","735,549",6,5,72,"130,000",0,"22,000",2x,"22,000",22,80,https://www.tiktok.com/@burnt.tatertot
24,7359137631822708741,sam_g_89,GO,,28,@sam_g_89,Gaming,BRYTON + CARRINGTON,26,Y,1.00,3,85%,7,4,9,15,6,"130,027","806,167",2,"1,000,000","869,973",Down,5,,"31,821","613,809","399,965",3,4,54,"633,500","45,000","6,000",1x,"6,000",18,60,https://www.tiktok.com/@sam_g_89
25,7497777597393190929,stefanielauryn415,GO,,12,@stefanielauryn415,,CARRINGTON,34,Y,1.00,4,113%,7,3,6,15,9,"127,477","790,357",2,"1,600,000","1,472,523",Down,6,,"2,092,050","1,020,019","1,239,134",3,2,61,"115,800",0,"41,800",1x,"41,800",18,60,https://www.tiktok.com/@stefanielauryn415
26,7359135268521246726,thetrapviolinist,GO,,35,@thetrapviolinist,Music,CARRINGTON,419,Y,1.00,2,56%,7,5,3,15,12,"125,870","780,394",2,"1,000,000","874,130",Down,5,,"10,351,388","504,310","326,036",0,-1,33,"189,000",0,"62,000",1x,"62,000",8,20,https://www.tiktok.com/@thetrapviolinist
27,7558760842850746382,sarahegant,GO,,6,@sarahegant,,CARRINGTON,113,Y,1.00,2,56%,7,5,4,15,11,"123,880","768,056",2,"1,000,000","876,120",Down,5,,"26,868","860,680","269,557",1,0,37,"76,000",0,"48,000",1x,"48,000",11,30,https://www.tiktok.com/@sarahegant
28,7451090481020321808,growandglowasmr,GO,,16,@growandglowasmr,ASMR,BRYTON + CARRINGTON,120,Y,1.00,5,141%,7,2,21,15,-6,"120,316","745,959",2,"1,000,000","879,684",Down,5,,"21,203","641,272","595,296",5,5,64,"303,500","35,000","32,500",1x,"32,500",22,80,https://www.tiktok.com/@growandglowasmr
29,7581605738645078071,jordan.borges,GO,,4,@jordan.borges,,DYLAN + CARRINGTON,52,Y,1.00,5,141%,7,2,32,15,-17,"120,039","744,242",2,"500,000","379,961",Down,4,,"1,117","439,792","431,151",5,5,61,"22,000","17,000","5,000",1x,"5,000",22,80,https://www.tiktok.com/@jordan.borges
30,7554552006812188727,imjustnicob,GO,,7,@imjustnico.,Gaming,BRYTON + CARRINGTON,80,Y,1.00,5,141%,7,2,27,15,-12,"120,010","744,062",2,"1,000,000","879,990",Down,5,,"362,436","976,773","1,175,237",5,6,72,"119,000","50,000",0,2x,0,22,80,https://www.tiktok.com/@imjustnicob
31,7359135408745447429,b.herbz,GO,,34,@b.herb,,CARRINGTON,3,Y,1.00,1,28%,7,6,2,15,13,"119,258","739,400",2,"500,000","380,742",Down,4,,"49,463","395,806","448,700",0,1,34,"99,150","18,000",0,1x,0,8,20,https://www.tiktok.com/@b.herbz
32,7387268256991657985,titancosplays,GO,,6,@wolfclanz,,CARRINGTON,34,Y,1.00,5,141%,7,2,25,15,-10,"118,446","734,365",2,"1,000,000","881,554",Down,5,,"193,697","671,705","245,249",5,2,52,"31,000","2,000","29,000",1x,"29,000",22,80,https://www.tiktok.com/@titancosplays
33,7359138280010645509,ageofangel,GO,,26,@theageofangel,,CARRINGTON,36,Y,1.00,4,113%,7,3,31,15,-16,"115,896","718,555",2,"3,000,000","2,884,104",Down,7,,"123,291","1,957,973","1,584,028",6,6,77,"353,750",0,250,2x,250,22,80,https://www.tiktok.com/@ageofangel
34,7359135698651217926,mystiquedejello,GO,,33,@mystiquedejello,,CARRINGTON,"1,099",Y,1.00,2,56%,7,5,9,15,6,"99,117","614,525",1,"1,000,000","900,883",Down,5,,"241,183","655,346","574,136",1,0,37,"15,425",0,"14,425",1x,"14,425",11,30,https://www.tiktok.com/@mystiquedejello
