CID,TikTok,Type,Date,Plus,Minus
7359134585688522757,singleonthemove,Sunday Knockout,2/23/2026,"30,000",-30000
7527933905626988561,shanellenikolee,Sunday Knockout,2/23/2026,"1,000",-1000
7359137631822708741,sam_g_89,Sunday Knockout,2/23/2026,"2,000",-2000
7359134574070398981,sierralandmagic,Sunday Knockout,2/23/2026,"3,000",-3000
7359134960558571525,smity194,Sunday Knockout,2/23/2026,"38,000",-28000
7359135727810052101,hotterjakepaul,Sunday Knockout,2/23/2026,"3,000",-3000
7566313243967471630,davidwilliamwatts,Sunday Knockout,2/23/2026,"4,000",-4000
7359134813120659461,jeremiahboutross,Sunday Knockout,2/23/2026,"4,000",-4000
7387268256991657985,titancosplays,Sunday Knockout,2/23/2026,"1,000",-1000
7581605738645078071,jordan.borges,Sunday Knockout,2/23/2026,"6,000",-6000
7595776572192243726,muthafknsid,Sunday Knockout,2/23/2026,"2,000",-2000
7359134960558571525,smity194,Bonus,2/23/2026,"35,000",-35000
7359134960558571525,smity194,Gifted,2/23/2026,,-15000
7359135097779519493,bryton.39,Bonus,2/22/2026,"35,000",-35000
7359134572702957574,jayden_egg,Gifted,2/21/2026,,-45000
7359136363951816710,rockylanemusic,Music Cypher,2/20/2026,"12,000",-2000
7433607263870517264,alexaraeemusic,Music Cypher,2/20/2026,"6,000",-6000
7359135097779519493,bryton.39,Royal Rumble,2/18/2026,"6,000",-6000
7359134572702957574,jayden_egg,Royal Rumble,2/18/2026,"40,000",-10000
7359135097779519493,bryton.39,Sunday Knockout,2/16/2026,"5,000",-5000
7359137631822708741,sam_g_89,Sunday Knockout,2/16/2026,"7,000",-2000
7581605738645078071,jordan.borges,Sunday Knockout,2/16/2026,"2,000",
7433607263870517264,alexaraeemusic,Gifted,2/16/2026,,-20600
7359136363951816710,rockylanemusic,Gifted,2/16/2026,,-16500
7359135264167428102,coloreomusic,Gifted,2/16/2026,,-1800
7359135084659736581,samanthasingsit,Gifted,2/16/2026,,-36200
7359135105165656069,freekbass,Gifted,2/16/2026,,-5500
