,Host,3/9,,Level,Month,Discord,Badge,Agent,New,Active,Prorate,Days,Day Pace,Days Goal,Days Left,Hours,Hrs Goal,Hours Left,💎,💎 Pace,Tier,Tier Goal,Tier Left,Tier Status,Tier LM,Grad,💎 Last 30,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,Days Month,Hours Month,Rewards Month,Link
1,7359135084659736581,samanthasingsit,GO,0,37,@samanthasingsit,Music,CARRINGTON,286,Y,1.00,7,110%,8,1,26,20,-6,"1,805,036","6,217,346",7,"3,000,000","1,194,964",-,7,,"1,874,485","1,653,571","1,270,834",6,3,82,"1,586,275","85,200","-43,625",2x,0,22,80,"60,000",https://www.tiktok.com/@samanthasingsit
2,7359135097779519493,bryton.39,GO,1,37,@bryton.39,Gaming,MARCO,183,Y,1.00,9,141%,11,2,46,30,-16,"1,416,869","4,880,327",6,"5,000,000","3,583,131",Down,8,,"5,105,732","3,264,869","4,620,580",6,6,91,"6,869,850","478,000","187,000",2x,"187,000",22,80,"56,000",https://www.tiktok.com/@bryton.39
3,7359135105165656069,freekbass,GO,1,37,@freekbass,Music,CARRINGTON,"1,300",Y,1.00,8,125%,11,3,31,30,-1,"1,185,658","4,083,933",6,"3,000,000","1,814,342",Down,7,,"369,092","2,927,760","4,925,433",4,6,87,"2,035,700","13,000","29,500",2x,"29,500",22,80,"15,000",https://www.tiktok.com/@freekbass
4,7359134909191159814,skylerclarkk,GO,1,40,@skylerclark_,Music,CARRINGTON,"2,362",Y,1.00,8,125%,11,3,30,30,0,"1,131,397","3,897,034",6,"3,000,000","1,868,603",Down,7,,"2,535,478","2,530,421","2,765,414",4,3,83,"217,150","89,000","6,150",2x,"6,150",22,80,"5,000",https://www.tiktok.com/@skylerclarkk
5,7527933905626988561,shanellenikolee,GO,1,9,@shanellenikole,,CARRINGTON,291,Y,1.00,9,141%,11,2,38,30,-8,"777,375","2,677,625",5,"3,000,000","2,222,625",Down,7,,"36,006","1,900,960","2,331,637",6,6,88,"177,000","118,000","2,000",2x,"2,000",22,80,"45,000",https://www.tiktok.com/@shanellenikolee
6,7359135264167428102,coloreomusic,GO,1,35,@coloreo,"Music, Gaming",CARRINGTON,100,Y,1.00,9,141%,11,2,38,30,-8,"776,129","2,673,333",5,"1,600,000","823,871",Down,6,,"34,765","1,521,625","1,376,333",6,6,86,"605,450","78,850","7,200",2x,"7,200",22,80,0,https://www.tiktok.com/@coloreomusic
7,7359134572702957574,jayden_egg,GO,1,47,@smileegg.,Gaming,CARRINGTON,118,Y,1.00,8,125%,11,3,50,30,-20,"739,245","2,546,288",5,"3,000,000","2,260,755",Down,7,,"1,723,671","2,330,821","2,191,553",6,4,87,"296,000","161,000","38,000",2x,"38,000",22,80,"53,500",https://www.tiktok.com/@jayden_egg
8,7359134585688522757,singleonthemove,GO,,46,@singleonthemove,,CARRINGTON,65,Y,1.00,6,94%,7,1,21,15,-6,"633,701","2,182,748",5,"8,000,000","7,366,299",Down,9,,"2,734,820","5,226,194","5,828,132",4,4,88,"3,037,100","567,000",100,2x,100,22,80,"32,000",https://www.tiktok.com/@singleonthemove
9,7417960855335354369,pcdrums76,GO,1,19,@pcdrums76,Music,CARRINGTON,395,Y,1.00,9,141%,11,2,38,30,-8,"616,586","2,123,796",5,"1,000,000","383,414",-,5,,"9,175","682,236","1,311,281",0,4,63,"3,287,650","35,000",150,1x,150,8,20,0,https://www.tiktok.com/@pcdrums76
10,7359134960558571525,smity194,GO,1,39,@smity194,,CARRINGTON,80,Y,1.00,9,141%,11,2,24,30,6,"608,738","2,096,764",5,"1,600,000","991,262",Down,6,,"306,709","1,171,166","1,137,993",2,2,67,"2,920,750","119,000","6,450",1x,"6,450",15,40,"15,000",https://www.tiktok.com/@smity194
11,7359138280010645509,ageofangel,GO,1,26,@theageofangel,,CARRINGTON,90,Y,1.00,8,125%,11,3,72,30,-42,"592,249","2,039,969",5,"3,000,000","2,407,751",Down,7,,"123,311","1,957,973","1,584,028",6,6,85,"353,750",0,250,2x,250,22,80,0,https://www.tiktok.com/@ageofangel
12,7359135727810052101,hotterjakepaul,GO,0,33,@hotterjakepaul,,CARRINGTON,94,Y,1.00,7,110%,8,1,23,20,-3,"577,928","1,990,641",5,"1,000,000","422,072",-,5,,"2,278,398","798,841","856,560",4,3,66,"929,800","43,000",0,1x,0,22,80,0,https://www.tiktok.com/@hotterjakepaul
13,7359135814745391109,tha_dripp_phamily,GO,1,32,@moedagoat_,,CARRINGTON,405,Y,1.00,9,141%,11,2,42,30,-12,"534,155","1,839,867",5,"1,000,000","465,845",-,5,,"10,840,746","501,009","340,183",2,1,50,"188,375",0,"10,375",1x,"10,375",15,40,"7,000",https://www.tiktok.com/@tha_dripp_phamily
14,7368626525710794769,daisy_dew4,GO,1,23,@brittneya54_73081,,CARRINGTON,806,Y,1.00,9,141%,11,2,60,30,-30,"519,806","1,790,443",5,"500,000","-19,806",Up,4,,"114,380","389,163","301,118",0,0,45,"164,000","2,000","105,000",1x,"105,000",8,20,"2,000",https://www.tiktok.com/@daisy_dew4
15,7433607263870517264,alexaraeemusic,GO,0,17,@alexaraeemusic,Music,CARRINGTON,"1,240",Y,1.00,7,110%,8,1,20,20,0,"504,263","1,736,906",5,"3,000,000","2,495,737",Down,7,,"1,811,228","2,340,757","1,490,015",4,2,73,"493,000","113,600",-200,2x,0,22,80,"39,000",https://www.tiktok.com/@alexaraeemusic
16,7513787055730638849,cwdetroit,GO,1,6,@cwdetroit.,,CARRINGTON,111,Y,1.00,9,141%,11,2,41,30,-11,"466,788","1,607,825",4,"1,600,000","1,133,212",Down,6,,"6,627","1,366,037","1,039,231",6,6,82,"112,000","69,000","5,000",2x,"5,000",22,80,0,https://www.tiktok.com/@cwdetroit
17,7359136208586637317,thebellaflora__,GO,1,31,@thebellaflora_,,CARRINGTON,97,Y,1.00,9,141%,11,2,49,30,-19,"401,052","1,381,401",4,"1,000,000","598,948",Down,5,,"106,311","997,055","497,820",5,3,69,"78,250",0,"14,250",1x,"14,250",22,80,"15,000",https://www.tiktok.com/@thebellaflora__
