,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
12,7433607263870517264,alexaraeemusic,GO,2,15,@alexaraeemusic,CARRINGTON,0,"2,000","2,698",36K,18,82%,Y,1.00,63,80,17,"1,490,015",,"1,490,015",-49%,NR,"2,927,101","2,593,537",4,4,65,"428,000","120,000",400,1x,400,FALSE,FALSE
13,7359135264167428102,coloreomusic,GO,6,33,@coloreo,CARRINGTON,0,"10,000",283,128K,30,136%,Y,1.00,158,80,-,"1,376,333",,"1,376,333",44%,NR,"956,875","1,309,617",5,6,71,"560,450","78,050",0,2x,0,FALSE,FALSE
14,7359134517946417157,ashleymatute_,GO,6,46,@ashleymatute_,CARRINGTON,0,0,666,0,26,118%,Y,1.00,190,80,-,"1,361,144",,"1,144,535",24%,NR,"1,101,660","574,089",6,2,74,"39,250",0,"39,250",2x,"39,250",FALSE,FALSE
15,7359136363951816710,rockylanemusic,GO,4,28,@rockylane,CARRINGTON,0,"3,000",413,156K,29,132%,Y,1.00,97,80,-,"1,342,827",,"1,277,528",23%,NR,"1,088,531","1,418,139",3,4,65,"1,032,900","55,000","23,000",1x,"23,000",FALSE,FALSE
16,7417960855335354369,pcdrums76,GO,4,17,@pcdrums76,CARRINGTON,0,0,"1,016",173K,21,95%,Y,1.00,90,80,-,"1,311,281",,"1,310,398",-76%,NR,"5,451,049","2,948,844",6,4,79,"3,287,650","428,900",150,2x,150,- / -,90
17,7537793382597410829,svendranoel,GO,4,6,@svendranoel,CARRINGTON,0,"5,000",171,20K,25,114%,Y,1.00,90,80,-,"1,278,145",,"1,243,158",91%,NR,"670,911","586,051",5,5,65,"102,000","91,000",0,1x,0,FALSE,FALSE
18,7359135084659736581,samanthasingsit,GO,3,35,@samanthasingsit,CARRINGTON,0,"7,000",414,154K,21,95%,Y,1.00,72,80,8,"1,270,834",,"887,400",-67%,NR,"3,904,754","1,154,011",6,2,73,"1,526,275","210,000","-57,425",2x,0,FALSE,FALSE
18,7497777597393190929,stefanielauryn415,GO,2,10,@stefanielauryn415,CARRINGTON,0,0,378,6K,25,114%,Y,1.00,55,60,5,"1,239,134",,"1,239,134",23%,NR,"1,004,765","805,443",3,3,59,"111,800",0,"37,800",1x,"37,800",FALSE,FALSE
20,7554552006812188727,imjustnicob,GO,6,5,@imjustnico.,BRYTON + CARRINGTON,0,0,869,0,28,127%,Y,1.00,221,80,-,"1,175,237",,"1,131,422",54%,NR,"764,005","1,594,661",5,6,69,"69,000","69,000",0,1x,0,FALSE,FALSE
21,7359134960558571525,smity194,GO,2,37,@smity194,CARRINGTON,0,0,163,109K,28,127%,Y,1.00,56,60,4,"1,137,993",,"1,084,155",-72%,NR,"4,032,095","3,417,288",3,3,65,"2,831,750","359,000","1,450",1x,"1,450",FALSE,FALSE
